Team: Indiana Hoosiers
Player: Joe, Jersey number: 36, Grade: 44, Position: GOAL_KEEPER
Player: Brittney, Jersey number: 75, Grade: 4, Position: DEFENDER
Player: Krista, Jersey number: 15, Grade: 33, Position: DEFENDER
Player: Edward, Jersey number: 35, Grade: 94, Position: MIDFIELDER
Player: Cody, Jersey number: 16, Grade: 30, Position: MIDFIELDER
Player: Benjamin, Jersey number: 46, Grade: 88, Position: MIDFIELDER
Player: Jeffrey, Jersey number: 72, Grade: 4, Position: ATTACKER
Player: Larry, Jersey number: 51, Grade: 75, Position: ATTACKER
Player: Melinda, Jersey number: 92, Grade: 39, Position: ATTACKER
Player: Kenneth, Jersey number: 52, Grade: 100, Position: ATTACKER
Player: Roger, Jersey number: 44, Grade: 28, Position: ATTACKER
